trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
101,False,"{'a': 0.01, 'e': 0.7979999999999998}",20,0,-6.188064152934481,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.01, 'e': 0.7959999999999998}",20,0,-31.8036272982003,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
103,False,"{'a': 0.01, 'e': 0.7939999999999998}",20,0,-15.924697606853226,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
104,False,"{'a': 0.01, 'e': 0.7919999999999998}",30,3,-114.21385124807912,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 2}",1
105,False,"{'a': 0.01, 'e': 0.7899999999999998}",30,7,-38.05473906939387,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
106,False,"{'a': 0.01, 'e': 0.7879999999999998}",20,0,-80.45266725239986,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
107,False,"{'a': 0.01, 'e': 0.7859999999999998}",30,0,-118.66332743112332,"{0: 16, 1: 6, 2: 7, 3: 0, 4: 1}",0
108,False,"{'a': 0.01, 'e': 0.7839999999999998}",30,22,11.683456516191026,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.7819999999999998}",20,0,-38.888109036546346,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
110,False,"{'a': 0.01, 'e': 0.7799999999999998}",30,21,-46.48216468644675,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
111,False,"{'a': 0.01, 'e': 0.7779999999999998}",30,0,-230.8634194692656,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 4}",0
112,False,"{'a': 0.01, 'e': 0.7759999999999998}",25,0,-120.52153064753188,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
113,False,"{'a': 0.01, 'e': 0.7739999999999998}",25,0,-77.74350984078929,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
114,False,"{'a': 0.01, 'e': 0.7719999999999998}",25,0,-113.43133735989856,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
115,False,"{'a': 0.01, 'e': 0.7699999999999998}",20,0,-120.25414687675726,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
116,False,"{'a': 0.01, 'e': 0.7679999999999998}",25,0,-99.87538101983428,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
117,False,"{'a': 0.01, 'e': 0.7659999999999998}",20,0,-13.094333537613558,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
118,False,"{'a': 0.01, 'e': 0.7639999999999998}",25,7,-32.763947145804465,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.7619999999999998}",30,1,-77.72706971857052,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 1}",1
120,False,"{'a': 0.01, 'e': 0.7599999999999998}",20,0,-32.98787693113453,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
121,False,"{'a': 0.01, 'e': 0.7579999999999998}",25,4,-168.0593984395147,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 3}",1
122,False,"{'a': 0.01, 'e': 0.7559999999999998}",25,5,-135.0866392291942,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",1
123,False,"{'a': 0.01, 'e': 0.7539999999999998}",20,0,-67.30188758925435,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
124,False,"{'a': 0.01, 'e': 0.7519999999999998}",25,0,-141.56427516867726,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
125,False,"{'a': 0.01, 'e': 0.7499999999999998}",20,5,-133.5031748186583,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 3}",1
126,False,"{'a': 0.01, 'e': 0.7479999999999998}",25,0,-32.49520764045284,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
127,False,"{'a': 0.01, 'e': 0.7459999999999998}",25,0,-61.504547969584245,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
128,False,"{'a': 0.01, 'e': 0.7439999999999998}",30,11,-134.48891664279583,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 3}",1
129,False,"{'a': 0.01, 'e': 0.7419999999999998}",35,0,-72.90598237604001,"{0: 28, 1: 2, 2: 3, 3: 1, 4: 1}",0
130,False,"{'a': 0.01, 'e': 0.7399999999999998}",25,18,10.3688638600616,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.7379999999999998}",25,14,-84.49566742524179,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 2}",1
132,False,"{'a': 0.01, 'e': 0.7359999999999998}",25,5,-80.84994691046282,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",1
133,False,"{'a': 0.01, 'e': 0.7339999999999998}",25,0,-106.28789700171656,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
134,False,"{'a': 0.01, 'e': 0.7319999999999998}",20,6,-25.226226905261253,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.7299999999999998}",20,4,-81.38866861437471,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 1}",1
136,False,"{'a': 0.01, 'e': 0.7279999999999998}",20,0,-49.96621222086795,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
137,False,"{'a': 0.01, 'e': 0.7259999999999998}",20,0,-56.15571347691529,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
138,False,"{'a': 0.01, 'e': 0.7239999999999998}",30,0,-28.472986938486514,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
139,False,"{'a': 0.01, 'e': 0.7219999999999998}",20,5,-13.866093504992332,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.7199999999999998}",20,0,-8.818332352168825,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
141,False,"{'a': 0.01, 'e': 0.7179999999999997}",30,0,-74.1452942772557,"{0: 21, 1: 5, 2: 3, 3: 0, 4: 1}",0
142,False,"{'a': 0.01, 'e': 0.7159999999999997}",20,3,-40.45379358779228,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
143,False,"{'a': 0.01, 'e': 0.7139999999999997}",25,0,-138.39473272073874,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
144,False,"{'a': 0.01, 'e': 0.7119999999999997}",25,8,-78.67930790149197,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
145,False,"{'a': 0.01, 'e': 0.7099999999999997}",35,8,-212.80650778982786,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 4}",1
146,False,"{'a': 0.01, 'e': 0.7079999999999997}",20,0,-84.54187805564497,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
147,False,"{'a': 0.01, 'e': 0.7059999999999997}",35,18,-3.488234716508277,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.7039999999999997}",30,18,-12.814598542078361,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.7019999999999997}",25,0,-60.14883316790896,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
150,False,"{'a': 0.01, 'e': 0.6999999999999997}",25,13,0.6164732267334148,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.6979999999999997}",30,12,-36.10802189154559,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.6959999999999997}",20,0,-95.06641836979215,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
153,False,"{'a': 0.01, 'e': 0.6939999999999997}",35,22,-28.807719130063717,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
154,False,"{'a': 0.01, 'e': 0.6919999999999997}",20,0,-82.27147123984467,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",1
155,False,"{'a': 0.01, 'e': 0.6899999999999997}",20,1,-59.50564258492022,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 1}",1
156,False,"{'a': 0.01, 'e': 0.6879999999999997}",35,0,-220.3330540661559,"{0: 18, 1: 3, 2: 9, 3: 3, 4: 2}",0
157,False,"{'a': 0.01, 'e': 0.6859999999999997}",25,0,-27.1402764315024,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
158,False,"{'a': 0.01, 'e': 0.6839999999999997}",30,13,-6.399170206622495,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.01, 'e': 0.6819999999999997}",25,12,-40.121103371385146,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 0}",1
160,False,"{'a': 0.01, 'e': 0.6799999999999997}",20,8,-1.8945610816604963,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.01, 'e': 0.6779999999999997}",25,0,-59.44456560215052,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
162,False,"{'a': 0.01, 'e': 0.6759999999999997}",20,16,8.25247944967816,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.01, 'e': 0.6739999999999997}",30,0,-153.4054217372106,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
164,False,"{'a': 0.01, 'e': 0.6719999999999997}",20,0,-66.16089054888636,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
165,False,"{'a': 0.01, 'e': 0.6699999999999997}",25,3,-75.91114080619859,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 2}",1
166,False,"{'a': 0.01, 'e': 0.6679999999999997}",25,0,-54.55903106248328,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
167,False,"{'a': 0.01, 'e': 0.6659999999999997}",30,0,-122.54011696953641,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",1
168,False,"{'a': 0.01, 'e': 0.6639999999999997}",25,0,-58.7326784531277,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
169,False,"{'a': 0.01, 'e': 0.6619999999999997}",35,15,-31.36065444845979,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.6599999999999997}",20,1,17.230144271618926,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.01, 'e': 0.6579999999999997}",20,3,-61.24610817069525,"{0: 12, 1: 3, 2: 0, 3: 1, 4: 1}",1
172,False,"{'a': 0.01, 'e': 0.6559999999999997}",30,0,-110.78903418792822,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
173,False,"{'a': 0.01, 'e': 0.6539999999999997}",20,0,-147.11530710131555,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
174,False,"{'a': 0.01, 'e': 0.6519999999999997}",30,0,-124.60168103527482,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",1
175,False,"{'a': 0.01, 'e': 0.6499999999999997}",20,9,-4.061001413423504,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.6479999999999997}",20,0,-8.408469475506513,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
